class,job,duration (s)
default_data,trick_mc.mc.process_sim_args,1e-06
default_data,trick_cpr.cpr.find_write_checkpoint_jobs,4e-06
default_data,trick_sie.sie.process_sim_args,0
default_data,trick_real_time.rt_sync.get_sim_start_time,0
default_data,trick_inject.create_injector_executors,3.8e-05
default_data,trick_sys.sched.get_freeze_job,1e-06
default_data,trick_message.mpublisher.subscribe,0
default_data,trick_message.mpublisher.subscribe,0
default_data,trick_message.mpublisher.subscribe,0
default_data,trick_message.mpublisher.subscribe,0
default_data,trick_message.mpublisher.subscribe,0
default_data,trick_message.mdevice.default_data,2.7e-05
default_data,trick_em.create_thread_process_event,0
default_data,trick_vs.vs.default_data,8e-06
default_data,trick_frame_log.frame_log.default_data,0.0004
default_data,dyn.cannon_default_data,1e-06
default_data,trick_udunits.udunits.read_default_xml,0.003806
input_processor,trick_jit.jit.process_sim_args,3e-06
input_processor,trick_jit.jit.init,1e-06
input_processor,trick_ip.ip.process_sim_args,1e-06
input_processor,trick_ip.ip.init,0.22876
init,trick_vs.vs.init,0.000816
init,trick_master_slave.master.process_sim_args,1e-06
init,trick_master_slave.slave.process_sim_args,1e-06
init,trick_master_slave.master.init,1e-06
init,trick_master_slave.slave.init,1e-06
init,trick_mc.mc.execute_monte,1e-06
init,trick_cpr.cpr.write_pre_init_checkpoint,2e-06
init,trick_message.mpublisher.init,3e-06
init,trick_message.mfile.init,9.3e-05
init,trick_message.pfile.init,1.8e-05
init,trick_message.mdevice.init,9.4e-05
init,trick_vs.monte_carlo_disable_all_apps,2e-06
init,trick_vs.Trick::launch_all_external_applications,0.006996
init,trick_data_record.drd.remove_files,0.013307
init,trick_frame_log.frame_log.create_DP_files,0.017182
init,trick_zero_conf.zc.init,2e-06
init,dyn.cannon_init,1e-06
init,trick_sys.exec_collect_init,1e-06
init,trick_sys.sched.write_s_run_summary,0.002922
init,trick_data_record.drd.init,0.003941
init,trick_data_record_group_frame_userjobs_main.init,0.000293
init,trick_data_record_group_frame_trickjobs.init,0.000889
init,trick_data_record_group_frame.init,0.000276
init,trick_data_record_group_my_cannon.init,0.000214
init,trick_sys.sched.check_all_jobs_handled,1.1e-05
init,trick_sys.sched.check_all_job_cycle_times,7e-06
init,trick_sys.sched.create_threads,8e-06
init,trick_sys.sched.write_s_job_execution,0.000542
init,trick_sys.sched.async_freeze_to_exec_command,1e-06
init,trick_cpr.cpr.write_post_init_checkpoint,2e-06
init,trick_em.ep.add_pending_events,2e-06
init,trick_real_time.rt_sync.rt_clock->calc_sim_time_ratio,1e-06
init,trick_real_time.rt_sync.initialize,0.00017
init,trick_real_time.rt_sync.start_realtime,1.5e-05
init,trick_real_time.rt_sync.get_sim_end_init_time,1e-06
